Request,Time(micros)
1,35
2,8
3,6
4,5
5,5
6,5
7,5
8,6
9,5
10,5
11,5
12,5
13,4
14,5
15,5
16,5
17,5
18,5
19,5
20,153
21,20
22,13
23,5
24,5
25,4
26,4
27,5
28,6
29,13
30,7
31,7
32,12
33,11
34,13
35,17
36,15
37,13
38,14
39,14
40,307
41,30
42,14
43,11
44,14
45,10
46,10
47,10
48,13
49,10
50,9
51,12
52,11
53,10
54,9
55,13
56,10
57,9
58,37
59,13
60,219
61,30
62,21
63,15
64,14
65,14
66,14
67,14
68,11
69,13
70,14
71,14
72,12
73,12
74,14
75,14
76,14
77,13
78,10
79,11
80,179
81,24
82,13
83,13
84,13
85,12
86,11
87,10
88,9
89,10
90,9
91,9
92,10
93,10
94,9
95,10
96,9
97,10
98,9
99,9
100,26
101,17
102,15
103,14
104,11
105,5
106,5
107,5
108,4
109,5
110,5
111,4
112,5
113,5
114,5
115,5
116,4
117,6
118,13
119,14
120,94
121,23
122,24
123,14
124,10
125,9
126,11
127,9
128,9
129,11
130,10
131,9
132,9
133,9
134,10
135,9
136,9
137,10
138,9
139,9
140,176
141,18
142,12
143,13
144,13
145,12
146,10
147,11
148,12
149,11
150,10
151,9
152,9
153,10
154,9
155,9
156,9
157,9
158,9
159,29
160,124
161,19
162,11
163,16
164,13
165,15
166,11
167,9
168,12
169,8
170,11
171,9
172,9
173,12
174,9
175,11
176,10
177,9
178,11
179,9
180,144
181,12
182,13
183,11
184,11
185,18
186,22
187,19
188,11
189,13
190,15
191,14
192,17
193,13
194,12
195,15
196,14
197,17
198,13
199,18
200,159
201,18
202,19
203,13
204,20
205,14
206,12
207,20
208,14
209,18
210,14
211,13
212,20
213,15
214,18
215,13
216,14
217,32
218,17
219,19
220,106
221,26
222,15
223,11
224,34
225,11
226,15
227,12
228,10
229,14
230,10
231,14
232,10
233,9
234,14
235,8
236,14
237,9
238,13
239,11
240,68
241,22
242,12
243,16
244,12
245,10
246,15
247,11
248,18
249,15
250,21
251,16
252,12
253,14
254,10
255,12
256,16
257,9
258,15
259,13
260,66
261,15
262,12
263,15
264,10
265,15
266,11
267,14
268,15
269,10
270,17
271,11
272,9
273,19
274,10
275,14
276,14
277,14
278,11
279,11
280,160
281,20
282,21
283,14
284,13
285,28
286,14
287,18
288,13
289,11
290,19
291,13
292,18
293,17
294,15
295,18
296,14
297,19
298,15
299,17
300,16
301,12
302,19
303,14
304,18
305,15
306,13
307,19
308,14
309,18
310,13
311,13
312,19
313,14
314,27
315,16
316,13
317,15
318,13
319,18
320,16
321,22
322,14
323,10
324,17
325,14
326,24
327,20
328,15
329,20
330,15
331,18
332,19
333,14
334,18
335,10
336,12
337,12
338,17
339,15
340,44
341,26
342,16
343,18
344,14
345,12
346,14
347,10
348,13
349,9
350,10
351,14
352,10
353,13
354,10
355,9
356,10
357,10
358,14
359,10
360,118
361,13
362,8
363,11
364,8
365,11
366,7
367,7
368,11
369,7
370,10
371,8
372,9
373,11
374,7
375,11
376,7
377,10
378,16
379,9
380,189
381,13
382,13
383,8
384,7
385,11
386,7
387,10
388,8
389,7
390,11
391,7
392,14
393,8
394,7
395,11
396,8
397,13
398,12
399,13
400,164
401,15
402,20
403,13
404,19
405,14
406,24
407,15
408,9
409,11
410,11
411,14
412,17
413,14
414,17
415,12
416,18
417,15
418,13
419,18
420,255
421,17
422,21
423,16
