type,obs,calc,time
comp,50,99,146
gui,50,99,87
comp,50,99,127
gui,50,99,97
comp,50,99,112
gui,50,99,73
comp,50,99,147
gui,50,99,79
comp,50,99,123
gui,50,99,123
comp,50,99,132
gui,50,99,131
comp,50,99,141
gui,50,99,106
comp,50,99,121
gui,50,99,89
comp,50,99,133
gui,50,99,108
comp,50,99,139
gui,50,99,108
comp,50,99,204
gui,50,99,156
comp,50,99,91
gui,50,99,242
comp,50,99,100
gui,50,99,344
comp,50,99,127
gui,50,99,416
comp,50,99,120
gui,50,99,446
comp,50,99,196
gui,50,99,382
comp,50,99,204
gui,50,99,302
comp,50,99,113
gui,50,99,227
comp,50,99,117
gui,50,99,272
comp,50,99,153
gui,50,99,437
comp,50,99,85
gui,50,99,261
comp,50,99,84
gui,50,99,347
comp,50,99,84
gui,50,99,243
comp,50,99,83
gui,50,99,364
comp,50,99,119
gui,50,99,407
comp,50,99,172
gui,50,99,430
comp,50,99,90
gui,50,99,246
comp,50,99,85
gui,50,99,266
comp,50,99,83
gui,50,99,292
comp,50,99,119
gui,50,99,426
comp,50,99,161
gui,50,99,472
comp,50,99,146
gui,50,99,267
comp,50,99,96
gui,50,99,242
comp,50,99,100
gui,50,99,388
comp,50,99,125
gui,50,99,334
comp,50,99,154
gui,50,99,379
comp,50,99,114
gui,50,99,362
comp,50,99,176
gui,50,99,279
comp,50,99,149
gui,50,99,257
comp,50,99,167
gui,50,99,213
comp,50,99,174
gui,50,99,451
comp,50,99,99
gui,50,99,456
comp,50,99,136
gui,50,99,519
comp,50,99,118
gui,50,99,304
comp,50,99,117
gui,50,99,286
comp,50,99,134
gui,50,99,454
comp,50,99,115
gui,50,99,321
comp,50,99,89
gui,50,99,272
comp,50,99,95
gui,50,99,301
comp,50,99,105
gui,50,99,323
comp,50,99,167
gui,50,99,463
comp,50,99,86
gui,50,99,382
comp,50,99,155
gui,50,99,374
comp,50,99,107
gui,50,99,292
comp,50,99,97
gui,50,99,288
comp,50,99,157
gui,50,99,642
comp,50,99,84
