Request,Time(micros)
1,78
2,10
3,10
4,8
5,9
6,8
7,8
8,20
9,7
10,9
11,8
12,7
13,8
14,8
15,9
16,8
17,7
18,7
19,13
20,10
21,8
22,8
23,8
24,9
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,7
33,7
34,8
35,8
36,8
37,14
38,5
39,5
40,6
41,15
42,15
43,14
44,11
45,14
46,15
47,15
48,13
49,13
50,16
51,13
52,13
53,15
54,13
55,100
56,14
57,14
58,34
59,16
60,16
61,15
62,15
63,15
64,15
65,15
66,14
67,19
68,16
69,14
70,13
71,14
72,14
73,103
74,15
75,15
76,14
77,14
78,15
79,15
80,12
81,13
82,14
83,15
84,15
85,14
86,14
87,15
88,13
89,14
90,12
91,116
92,18
93,16
94,13
95,18
96,12
97,14
98,11
99,10
100,10
101,15
102,11
103,11
104,15
105,20
106,17
107,11
108,10
109,136
110,13
111,16
112,20
113,14
114,15
115,12
116,16
117,12
118,47
119,17
120,18
121,8
122,11
123,8
124,11
125,12
126,172
127,26
128,15
129,21
130,12
131,25
132,17
133,19
134,20
135,13
136,20
137,13
138,16
139,14
140,17
141,15
142,16
143,19
144,10
145,41
146,12
147,22
148,18
149,16
150,22
151,19
152,18
153,15
154,20
155,15
156,12
157,20
158,15
159,26
160,16
161,20
162,15
163,21
164,22
165,16
166,24
167,16
168,20
169,23
170,21
171,15
172,16
173,23
174,16
175,19
176,20
177,20
178,16
179,15
180,21
181,136
182,29
183,16
184,20
185,17
186,14
187,20
188,18
189,23
190,16
191,21
192,13
193,15
194,22
195,31
196,25
197,16
198,21
199,116
200,9
201,15
202,10
203,35
204,17
205,18
206,15
207,14
208,20
209,20
210,19
211,15
212,24
213,16
214,15
215,15
216,21
217,174
218,12
219,13
220,15
221,12
222,8
223,8
224,11
225,8
226,14
227,11
228,14
229,8
230,8
231,14
232,8
233,19
234,10
235,366
236,16
237,11
238,16
239,10
240,15
241,10
242,14
243,11
244,10
245,14
246,24
247,14
248,13
249,16
250,11
251,10
252,14
253,84
254,19
255,12
256,32
257,26
258,13
259,18
260,14
261,18
262,13
263,19
264,13
265,16
266,11
267,9
268,19
269,12
270,26
271,107
272,21
273,16
274,14
275,21
276,14
277,18
278,19
279,20
280,15
281,14
282,19
283,13
284,20
285,19
286,20
287,15
288,14
289,198
290,9
291,13
292,8
293,14
294,8
295,7
296,11
297,17
298,13
299,8
300,20
301,9
302,7
303,11
304,9
305,17
306,8
307,179
308,12
309,12
310,8
311,7
312,12
313,8
314,14
315,8
316,18
317,10
318,8
319,18
320,7
321,10
322,12
323,12
324,8
325,193
326,24
327,13
328,16
329,24
330,17
331,12
332,10
333,15
334,11
335,14
336,11
337,15
338,11
339,10
340,15
341,11
342,15
343,139
344,16
345,9
346,9
347,11
348,9
349,11
350,8
351,18
352,8
353,8
354,9
