Request,Time(micros)
1,66
2,23
3,20
4,19
5,20
6,18
7,196
8,22
9,19
10,19
11,18
12,18
13,261
14,31
15,26
16,192
17,28
18,24
19,100
20,27
21,25
22,26
23,24
24,24
25,324
26,37
27,22
28,21
29,21
30,20
31,21
32,166
33,21
34,21
35,20
36,21
37,20
38,156
39,30
40,24
41,26
42,26
43,23
44,68
45,28
46,24
47,25
48,24
49,24
50,50
51,25
52,25
53,26
54,24
55,24
56,24
57,55
58,39
59,26
60,24
61,24
62,25
63,51
64,32
65,24
66,22
67,20
68,27
69,179
70,34
71,31
72,32
73,30
74,31
75,208
76,35
77,33
78,32
79,27
80,31
81,220
82,34
83,33
84,29
85,34
86,31
87,31
88,197
89,32
90,31
91,29
92,32
93,29
94,190
95,27
96,25
97,25
98,29
99,27
100,183
101,35
102,30
103,35
104,30
105,2375
106,69
107,23
108,22
109,20
110,19
111,20
112,19
113,259
114,21
115,19
116,33
117,20
118,19
119,137
120,22
121,19
122,21
123,20
124,18
125,125
126,20
127,18
128,19
129,18
130,19
131,121
132,20
133,19
134,19
135,18
136,19
137,140
138,22
139,19
140,18
141,19
142,18
143,19
144,127
145,19
146,18
147,19
148,19
149,18
150,122
151,21
152,19
153,19
154,19
155,19
156,124
157,20
158,19
159,18
160,19
161,18
162,126
163,20
164,18
165,18
166,18
167,18
168,18
169,142
170,19
171,3234
172,46
173,21
174,267
175,43
176,26
177,25
178,29
179,25
180,29
181,153
182,25
183,30
184,25
185,25
186,28
187,134
188,30
189,26
190,25
191,29
192,25
193,134
194,30
195,27
196,29
197,26
198,25
199,136
200,28
201,26
202,29
203,27
204,29
205,25
206,150
207,31
208,26
209,26
210,28
211,31
212,132
213,27
214,26
215,29
216,26
217,29
218,131
219,27
220,29
221,27
222,25
223,29
224,135
225,30
226,26
227,26
228,29
229,38
230,133
231,20
232,19
233,19
234,19
235,19
236,19
237,142
238,20
239,19
240,18
241,18
242,18
243,126
244,20
245,2888
246,72
247,22
248,20
249,538
250,30
251,20
252,20
253,20
254,20
255,466
256,32
257,22
258,20
259,21
260,20
261,32
262,419
263,27
264,20
265,20
266,20
267,20
268,134
269,22
270,20
271,20
272,781
273,73
274,119
275,27
276,20
277,20
278,19
279,19
280,44
281,37
282,44
283,40
284,31
285,27
286,27
287,122
288,30
289,33
290,78
291,36
292,30
293,237
294,34
295,52
296,38
297,42
298,23
299,115
300,24
301,20
302,19
303,19
304,19
305,115
306,26
307,21
308,30
309,29
310,21
311,647
312,45
313,34
314,27
315,20
316,19
317,19
318,165
319,20
320,19
321,20
322,23
323,22
324,133
325,26
326,30
327,26
328,45
329,30
330,237
331,1620
332,82
333,31
334,33
335,41
336,1605
337,125
338,38
339,26
340,30
341,22
342,26
343,200
344,22
345,37
346,21
347,20
348,38
349,170
350,20
351,18
352,19
353,19
354,18
355,94
356,28
357,22
358,20
359,20
360,18
361,105
362,22
363,25
364,25
365,29
366,25
367,131
368,36
369,24
370,25
371,26
372,26
373,67
374,230
375,41
376,785
377,81
378,60
379,35
380,390
381,48
382,23
383,21
384,32
385,21
386,352
387,55
388,27
389,25
390,55
391,37
392,246
393,76
394,33
395,31
396,28
397,28
398,28
399,203
400,36
401,37
402,42
403,86
404,72
405,500
406,101
407,40
408,30
409,30
410,31
411,230
412,42
413,33
414,44
415,31
416,34
417,146
418,28
419,25
420,24
421,26
422,26
423,51
424,25
425,25
426,25
427,25
428,25
429,24
430,64
431,47
432,44
433,42
434,42
435,44
436,246
437,59
438,45
439,84
440,45
441,47
442,280
443,48
444,67
445,45
446,45
447,43
448,259
449,49
450,47
451,47
452,45
453,42
454,37
455,361
456,69
457,50
458,74
459,55
460,47
461,407
462,50
463,22
464,20
465,19
466,19
467,316
468,33
469,19
470,17
471,18
472,19
473,174
474,38
475,23
476,21
477,21
478,44
479,77
480,23
481,25
482,65
483,30
484,27
485,23
486,104
487,21
488,20
489,20
490,21
491,21
492,85
493,22
494,20
495,20
496,20
497,23
498,68
499,21
500,19
501,21
502,19
503,38
504,86
505,22
506,21
507,21
508,25
509,23
510,24
511,114
512,41
513,39
514,33
515,28
516,29
517,97
518,30
519,61
520,29
521,30
522,29
523,121
524,29
525,28
526,26
527,25
528,26
529,109
