lhs_size,rhs_size,naive_time_us,fft_time_us
50,50,30,129
50,50,29,114
50,50,49,165
50,50,42,179
50,50,83,161
50,50,61,142
50,50,30,137
50,50,29,117
50,50,29,114
50,50,29,113
50,50,29,113
50,50,36,159
50,50,29,115
50,50,29,131
50,50,29,115
50,50,29,115
50,50,29,114
50,50,56,213
50,50,29,114
50,50,29,115
50,50,29,115
50,50,29,115
50,50,29,112
50,50,29,134
50,50,29,114
50,50,29,115
50,50,29,134
50,50,30,117
50,50,30,146
50,50,29,115
50,50,41,143
50,50,29,114
50,50,29,116
50,50,29,115
50,50,47,586
50,50,42,160
50,50,29,145
50,50,51,140
50,50,29,115
50,50,43,194
50,50,29,114
50,50,29,142
50,50,29,115
50,50,29,113
50,50,29,116
50,50,29,116
50,50,42,214
50,50,29,115
50,50,29,113
50,50,31,115
50,50,29,114
50,50,29,115
50,50,40,159
50,50,47,203
50,50,29,114
50,50,41,145
50,50,29,118
50,50,43,142
50,50,29,129
50,50,29,115
50,50,79,183
50,50,30,117
50,50,29,114
50,50,29,117
50,50,41,143
50,50,29,115
50,50,29,115
50,50,35,146
50,50,29,117
50,50,31,148
50,50,29,114
50,50,29,113
50,50,29,114
50,50,29,115
50,50,29,113
50,50,30,129
50,50,41,143
50,50,29,144
50,50,29,115
50,50,29,118
50,50,29,115
50,50,30,156
50,50,29,114
50,50,28,114
50,50,29,116
50,50,29,114
50,50,29,115
50,50,66,154
50,50,29,113
50,50,29,114
50,50,29,114
50,50,29,115
50,50,29,112
50,50,29,115
50,50,29,134
50,50,29,114
50,50,29,113
50,50,41,154
50,50,45,142
50,50,30,172
50,50,43,149
50,50,44,160
50,50,30,119
50,50,49,163
50,50,42,143
50,50,49,168
50,50,45,227
50,50,29,114
50,50,29,114
50,50,30,117
50,50,40,152
50,50,42,162
50,50,29,114
50,50,29,114
50,50,29,116
50,50,41,142
50,50,28,113
50,50,29,114
50,50,30,118
50,50,29,114
50,50,58,204
50,50,29,115
50,50,30,143
50,50,29,115
50,50,29,114
50,50,41,142
50,50,29,114
50,50,30,119
50,50,29,114
50,50,29,114
50,50,30,181
50,50,56,153
50,50,29,114
50,50,30,118
50,50,42,159
50,50,29,114
50,50,29,115
50,50,29,114
50,50,29,116
50,50,29,115
50,50,29,116
50,50,29,134
50,50,29,116
50,50,29,116
50,50,29,116
50,50,29,114
50,50,50,198
50,50,29,118
50,50,41,144
50,50,29,115
50,50,29,114
50,50,29,116
50,50,29,115
50,50,42,146
50,50,48,163
50,50,29,114
50,50,29,115
50,50,48,222
50,50,29,115
50,50,45,174
50,50,43,159
50,50,29,114
50,50,29,115
50,50,29,115
50,50,50,250
50,50,47,154
50,50,30,133
50,50,29,114
50,50,28,114
50,50,29,114
50,50,29,115
50,50,29,117
50,50,43,219
50,50,29,114
50,50,29,116
50,50,42,151
50,50,29,113
50,50,29,116
50,50,30,131
50,50,29,115
50,50,29,113
50,50,29,113
50,50,29,115
50,50,29,115
50,50,30,119
50,50,29,114
50,50,29,114
50,50,29,114
50,50,29,114
50,50,29,114
50,50,29,116
50,50,29,116
50,50,63,235
50,50,49,210
50,50,29,115
50,50,29,118
50,50,29,114
50,50,29,115
50,50,29,115
50,50,29,114
50,50,29,119
50,50,29,115
50,50,29,113
50,50,29,115
50,50,29,114
50,50,62,154
50,50,43,227
50,50,30,119
50,50,29,114
50,50,30,132
50,50,29,116
50,50,59,114
50,50,29,114
50,50,29,114
50,50,29,116
50,50,29,113
50,50,29,117
50,50,29,115
50,50,29,115
50,50,29,114
50,50,55,244
50,50,29,114
50,50,48,182
50,50,30,118
50,50,29,113
50,50,64,183
50,50,30,118
50,50,30,200
50,50,30,116
50,50,29,112
50,50,30,119
50,50,30,131
50,50,30,118
50,50,43,150
50,50,29,115
50,50,41,144
50,50,64,146
50,50,64,171
50,50,65,150
50,50,64,149
50,50,61,140
50,50,61,141
50,50,61,140
50,50,41,147
50,50,64,150
50,50,30,157
50,50,30,159
50,50,49,160
50,50,61,141
50,50,78,161
50,50,69,130
50,50,50,163
50,50,30,162
50,50,30,162
50,50,71,165
50,50,44,179
50,50,30,126
50,50,29,118
50,50,30,118
50,50,30,118
50,50,61,141
50,50,29,113
50,50,29,115
50,50,49,165
50,50,29,115
50,50,42,166
50,50,29,114
50,50,29,114
50,50,29,114
50,50,30,119
50,50,29,113
50,50,30,118
50,50,61,176
50,50,36,155
100,50,93,319
100,50,57,226
100,50,124,309
100,50,139,324
100,50,99,336
100,50,83,354
100,50,147,362
100,50,71,262
100,50,94,309
100,50,119,261
100,50,84,223
100,50,55,210
100,50,56,240
100,50,55,212
100,50,55,214
100,50,156,390
100,100,228,270
100,100,106,222
100,100,103,252
100,100,121,248
100,100,160,324
100,100,228,263
100,100,210,329
100,100,238,297
100,100,180,303
100,100,104,234
100,100,174,292
100,100,228,284
100,100,260,304
100,100,281,300
100,100,104,213
100,100,228,262
100,100,228,282
100,100,212,290
100,100,257,293
100,100,254,283
100,100,150,265
100,100,107,245
100,100,107,221
100,100,106,220
100,100,107,296
100,100,150,305
100,100,152,274
100,100,103,211
100,100,106,219
100,100,107,238
100,100,128,237
100,100,134,221
100,100,150,286
100,100,118,222
100,100,107,234
100,100,103,215
100,100,103,214
100,100,103,215
100,100,228,280
100,100,161,292
100,100,195,272
100,100,103,216
100,100,150,268
100,100,107,222
100,100,151,286
100,100,150,221
100,100,181,309
100,100,103,214
100,100,104,216
100,100,103,247
100,100,104,213
100,100,151,386
100,100,124,217
100,100,103,246
100,100,104,217
100,100,121,213
100,100,103,243
100,100,103,214
100,100,162,270
100,100,104,217
100,100,103,216
100,100,103,216
100,100,173,289
100,100,103,216
100,100,103,217
100,100,162,421
100,100,103,217
100,100,103,218
100,100,103,217
100,100,107,232
100,100,116,229
100,100,174,328
100,100,133,232
100,100,173,298
100,100,104,216
100,100,103,219
100,100,104,217
100,100,103,218
100,100,103,215
100,100,103,215
100,100,103,214
100,100,103,218
100,100,103,241
100,100,174,290
100,100,103,218
100,100,104,304
100,100,103,217
100,100,103,216
100,100,103,216
100,100,103,213
100,100,150,272
100,100,103,216
100,100,103,216
100,100,104,217
100,100,120,217
100,100,104,271
100,100,103,213
100,100,103,213
100,100,103,213
100,100,103,255
100,100,124,236
100,100,152,359
100,100,185,306
100,100,107,222
100,100,196,366
100,100,104,248
100,100,103,217
100,100,104,215
100,100,103,215
100,100,104,216
100,100,103,214
100,100,104,245
100,100,116,231
100,100,104,215
100,100,103,217
100,100,104,271
100,100,103,214
100,100,103,211
100,100,103,214
100,100,152,336
100,100,106,219
100,100,104,243
100,100,103,214
100,100,151,267
100,100,205,290
100,100,122,222
100,100,103,214
100,100,104,216
100,100,151,277
100,100,104,215
100,100,103,218
100,100,104,217
100,100,104,214
100,100,118,220
100,100,180,419
100,100,104,216
100,100,103,213
100,100,103,217
100,100,151,276
100,100,103,216
100,100,103,215
100,100,103,217
100,100,150,295
100,100,135,216
100,100,103,212
100,100,107,222
100,100,104,215
100,100,103,216
100,100,103,217
100,100,103,212
100,100,150,359
100,100,122,252
100,100,213,250
100,100,129,215
100,100,103,216
100,100,103,216
100,100,180,332
100,100,103,216
100,100,103,216
100,100,254,292
100,100,103,213
100,100,103,216
100,100,176,285
100,100,103,216
100,100,104,215
100,100,103,216
100,100,103,215
100,100,103,214
100,100,108,293
100,100,103,220
100,100,104,215
100,100,103,216
100,100,104,215
100,100,103,213
100,100,104,312
100,100,122,217
100,100,104,213
100,100,103,215
100,100,104,216
100,100,103,217
100,100,169,385
100,100,103,217
100,100,103,213
100,100,103,215
100,100,103,216
100,100,103,213
100,100,150,370
100,100,103,217
100,100,166,401
100,100,103,211
100,100,162,283
100,100,149,270
100,100,103,216
100,100,150,306
100,100,107,264
100,100,103,214
100,100,104,216
100,100,150,276
100,100,104,216
100,100,150,289
100,100,174,307
100,100,180,303
100,100,184,323
100,100,103,215
100,100,104,217
100,100,215,349
100,100,174,398
100,100,103,216
100,100,178,306
100,100,103,217
100,100,120,234
100,100,103,215
100,100,103,217
100,100,104,218
100,100,106,231
100,100,219,309
100,100,118,212
100,100,103,216
100,100,104,217
100,100,104,215
100,100,103,216
100,100,103,217
100,100,103,213
100,100,103,218
100,100,103,216
100,100,151,293
100,100,103,213
100,100,104,217
100,100,103,218
100,100,104,217
100,100,104,217
100,100,155,304
100,100,103,218
100,100,199,325
100,100,103,215
100,100,104,215
100,100,103,215
100,100,107,221
100,100,103,217
100,100,104,215
100,100,103,214
100,100,103,216
100,100,103,215
100,100,104,216
100,100,180,303
100,100,174,292
100,100,174,336
100,100,104,213
100,100,103,215
100,100,172,279
100,100,103,213
100,100,104,214
100,100,103,212
100,100,150,213
100,100,104,233
100,100,164,431
100,100,103,216
100,100,103,212
100,100,103,217
100,100,103,212
100,100,169,273
100,100,103,213
100,100,104,216
100,100,103,213
100,100,107,221
100,100,106,221
100,100,107,226
100,100,152,278
100,100,103,213
100,100,117,219
100,100,107,248
100,100,160,367
100,100,180,304
100,100,117,213
100,100,103,227
100,100,107,247
100,100,103,215
100,100,103,282
100,100,103,217
100,100,103,213
100,100,104,216
100,100,104,236
100,100,103,215
100,100,103,211
100,100,103,216
100,100,174,340
100,100,103,214
100,100,103,215
100,100,104,215
100,100,167,216
100,100,103,216
100,100,104,298
100,100,104,218
100,100,103,213
100,100,104,214
100,100,103,218
100,100,104,212
100,100,103,212
100,100,104,216
100,100,107,220
100,100,104,213
100,100,103,212
100,100,173,352
100,100,103,215
100,100,103,215
100,100,103,217
100,100,103,215
100,100,103,261
100,100,103,215
100,100,103,217
100,100,104,252
100,100,103,217
100,100,103,212
100,100,103,217
100,100,103,216
100,100,103,215
100,100,103,216
100,100,103,216
100,100,103,213
100,100,103,217
100,100,103,216
100,100,107,229
100,100,149,276
100,100,103,216
100,100,104,216
100,100,103,215
100,100,103,248
100,100,103,214
100,100,170,266
100,100,103,216
100,100,103,217
100,100,183,332
100,100,103,215
100,100,103,213
100,100,103,215
100,100,103,218
100,100,109,238
100,100,112,239
100,100,226,290
100,100,103,214
100,100,115,267
100,100,103,213
100,100,104,219
100,100,183,300
100,100,103,214
100,100,103,215
100,100,103,216
100,100,139,216
100,100,103,215
100,100,104,214
100,100,103,213
100,100,174,310
100,100,122,222
100,100,104,214
100,100,103,260
100,100,104,213
100,100,103,213
100,100,228,261
100,100,238,300
100,100,181,274
100,100,103,214
100,100,104,214
100,100,103,212
100,100,242,353
100,100,103,214
100,100,159,279
100,100,159,299
100,100,104,214
100,100,107,222
100,200,207,270
100,200,392,459
100,200,342,264
